gene	gene_name	transcript_id	pvalue	fdr	sait_p_interaction	sait_adj_p_interaction	q_value
ENSG00000122912.16	SLC25A16	ENST00000265870.7	1	1	7.96281487249106e-06	0.000437954817987008	0
ENSG00000122912.16	SLC25A16	ENST00000493963.5	0.001	0.00405555555555556	7.96281487249106e-06	0.000437954817987008	0
ENSG00000122912.16	SLC25A16	ENST00000609923.6	1	1	7.96281487249106e-06	0.000437954817987008	0
ENSG00000122912.16	SLC25A16	ENST00000873655.1	0.002	0.00789189189189189	7.96281487249106e-06	0.000437954817987008	0
ENSG00000122912.16	SLC25A16	ENST00000966724.1	0.001	0.00405555555555556	7.96281487249106e-06	0.000437954817987008	0
ENSG00000122912.16	SLC25A16	ENST00000966726.1	1	1	7.96281487249106e-06	0.000437954817987008	0
ENSG00000153560.13	UBP1	ENST00000283629.8	1	1	9.04299189485309e-07	5.51622505586039e-05	0
ENSG00000153560.13	UBP1	ENST00000447368.6	1	1	9.04299189485309e-07	5.51622505586039e-05	0
ENSG00000153560.13	UBP1	ENST00000490112.1	0.001	0.00405555555555556	9.04299189485309e-07	5.51622505586039e-05	0
ENSG00000153560.13	UBP1	ENST00000492136.1	1	1	9.04299189485309e-07	5.51622505586039e-05	0
ENSG00000166582.12	CENPV	ENST00000299736.5	1	1	2.53830249783151e-07	1.59913057363385e-05	0
ENSG00000166582.12	CENPV	ENST00000472570.2	1	1	2.53830249783151e-07	1.59913057363385e-05	0
ENSG00000166582.12	CENPV	ENST00000476243.5	1	1	2.53830249783151e-07	1.59913057363385e-05	0
ENSG00000166582.12	CENPV	ENST00000582062.1	1	1	2.53830249783151e-07	1.59913057363385e-05	0
ENSG00000166582.12	CENPV	ENST00000631687.2	1	1	2.53830249783151e-07	1.59913057363385e-05	0
ENSG00000073067.14	CYP2W1	ENST00000308919.12	0.173526140155729	0.517037070668089	1.76101182092036e-05	0.000950946383296993	0
ENSG00000073067.14	CYP2W1	ENST00000468456.1	0.015	0.0521428571428571	1.76101182092036e-05	0.000950946383296993	0
ENSG00000071243.17	ING3	ENST00000315870.10	1	1	6.94757558735389e-12	4.86330291114772e-10	0
ENSG00000071243.17	ING3	ENST00000339121.9	1	1	6.94757558735389e-12	4.86330291114772e-10	0
ENSG00000071243.17	ING3	ENST00000427726.5	1	1	6.94757558735389e-12	4.86330291114772e-10	0
ENSG00000071243.17	ING3	ENST00000431467.1	0.001	0.00405555555555556	6.94757558735389e-12	4.86330291114772e-10	0
ENSG00000071243.17	ING3	ENST00000445699.5	1	1	6.94757558735389e-12	4.86330291114772e-10	0
